epoch,train_loss,node_id,node_type,household_count,train_sequence_count
15,0.23415272998656492,node_tou_5,ToU,20,49760
16,0.23375432169322416,node_tou_5,ToU,20,49760
17,0.2324525545839328,node_tou_5,ToU,20,49760
18,0.23465790388285154,node_tou_5,ToU,20,49760
19,0.23110254257438267,node_tou_5,ToU,20,49760
20,0.23184115058739468,node_tou_5,ToU,20,49760
1,0.4668647423482401,node_tou_6,ToU,20,49760
2,0.23737562582423832,node_tou_6,ToU,20,49760
3,0.208673443530246,node_tou_6,ToU,20,49760
4,0.20195959733613433,node_tou_6,ToU,20,49760
5,0.1992698755774084,node_tou_6,ToU,20,49760
6,0.19664829534828854,node_tou_6,ToU,20,49760
7,0.19498744921285624,node_tou_6,ToU,20,49760
8,0.19419189219114483,node_tou_6,ToU,20,49760
9,0.19017092069053956,node_tou_6,ToU,20,49760
10,0.1941211453013098,node_tou_6,ToU,20,49760
11,0.19523335422158625,node_tou_6,ToU,20,49760
12,0.19345566049409832,node_tou_6,ToU,20,49760
13,0.1913598020025005,node_tou_6,ToU,20,49760
14,0.19398071960429286,node_tou_6,ToU,20,49760
15,0.19923765914233169,node_tou_6,ToU,20,49760
16,0.20558673798846278,node_tou_6,ToU,20,49760
17,0.20163904761961418,node_tou_6,ToU,20,49760
18,0.2000439051742339,node_tou_6,ToU,20,49760
19,0.1996032429853053,node_tou_6,ToU,20,49760
20,0.19571390915242806,node_tou_6,ToU,20,49760
