window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC001182,ToU,-2.0794981494033205,0.25283800149113134,True
pre_2011_2012,2011-2012 pre-drift,MAC001228,ToU,-9.257268083949919,1.4384162338921546e-15,False
pre_2011_2012,2011-2012 pre-drift,MAC001318,ToU,-3.1225735081846757,0.02492712648041741,False
pre_2011_2012,2011-2012 pre-drift,MAC001372,ToU,-3.653983885693495,0.004808992757982441,False
pre_2011_2012,2011-2012 pre-drift,MAC001383,ToU,-4.727998532606391,7.453086551606907e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC001437,ToU,-8.006769515443462,2.2567287128492094e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC001495,ToU,-5.167705866555973,1.0229716665005474e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC001556,ToU,-5.966926714447737,1.9776444485240122e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC001715,ToU,-2.779961308014183,0.0611936544419617,True
pre_2011_2012,2011-2012 pre-drift,MAC001756,ToU,-8.36702454894855,2.7255030774974687e-13,False
pre_2011_2012,2011-2012 pre-drift,MAC001770,ToU,-10.991959086121307,7.023182993710355e-20,False
pre_2011_2012,2011-2012 pre-drift,MAC001773,ToU,-10.94956374313071,8.868329871816923e-20,False
pre_2011_2012,2011-2012 pre-drift,MAC001806,ToU,-6.339897239682852,2.7712742145451868e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC001823,ToU,-8.56583525880971,8.451774703143217e-14,False
pre_2011_2012,2011-2012 pre-drift,MAC001826,ToU,-6.122032339574098,8.808151946949437e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC001853,ToU,-5.672190141464359,8.86983561986659e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC001855,ToU,-9.3714577239566,7.358286439836205e-16,False
pre_2011_2012,2011-2012 pre-drift,MAC002040,ToU,-5.44844788909908,2.677640904441906e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC002046,ToU,-9.489957724240508,3.675371701099359e-16,False
pre_2011_2012,2011-2012 pre-drift,MAC002052,ToU,-4.280104610069002,0.00048080271821904387,False
pre_2011_2012,2011-2012 pre-drift,MAC002073,ToU,-6.984102022162486,8.051418421823124e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC002102,ToU,-3.521013068041308,0.0074635515364388505,False
pre_2011_2012,2011-2012 pre-drift,MAC002182,ToU,-7.804067644800074,7.361378174197558e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC002222,ToU,-7.895439249703157,4.3234999058355365e-12,False
