method,round,node_id,node_type,relative_change_pct,eligible_for_selective_retraining,raw_triggered,triggered
FedAvg,6,node_std_2,Std,-2.093009656385308,False,False,False
FedAvg,6,node_tou_0,ToU,-30.97252084823255,True,False,False
FedAvg,6,node_tou_1,ToU,12.112353636693886,True,True,False
FedAvg,6,node_tou_2,ToU,-4.180539198912302,True,False,False
FedAvg,6,node_tou_3,ToU,-11.619273461972446,True,False,False
FedAvg,6,node_tou_4,ToU,7.96107082011601,True,True,False
FedAvg,6,node_tou_5,ToU,6.932107556741876,True,True,False
FedAvg,6,node_tou_6,ToU,12.376216511547613,True,True,False
FedAvg,7,node_std_0,Std,12.58388396590962,False,True,False
FedAvg,7,node_std_1,Std,5.508364917297922,False,True,False
FedAvg,7,node_std_2,Std,-1.5401513859257512,False,False,False
FedAvg,7,node_tou_0,ToU,-30.723957705008825,True,False,False
FedAvg,7,node_tou_1,ToU,5.832371046171309,True,True,False
FedAvg,7,node_tou_2,ToU,-4.91992584666834,True,False,False
FedAvg,7,node_tou_3,ToU,-13.218596426369785,True,False,False
FedAvg,7,node_tou_4,ToU,1.1986484122883845,True,False,False
FedAvg,7,node_tou_5,ToU,1.0114359502813186,True,False,False
FedAvg,7,node_tou_6,ToU,11.77908003428707,True,True,False
FedAvg,8,node_std_0,Std,10.647835436905986,False,True,False
FedAvg,8,node_std_1,Std,14.707000723512797,False,True,False
FedAvg,8,node_std_2,Std,-13.600466852099899,False,False,False
FedAvg,8,node_tou_0,ToU,-23.79651883512913,True,False,False
FedAvg,8,node_tou_1,ToU,6.0669184999730685,True,True,False
FedAvg,8,node_tou_2,ToU,-1.5408502732066793,True,False,False
FedAvg,8,node_tou_3,ToU,-10.433003123967659,True,False,False
FedAvg,8,node_tou_4,ToU,6.154817529453173,True,True,False
FedAvg,8,node_tou_5,ToU,7.95627547364864,True,True,False
FedAvg,8,node_tou_6,ToU,-0.05037029195310614,True,False,False
FedAvg,9,node_std_0,Std,14.40338384140679,False,True,False
FedAvg,9,node_std_1,Std,-1.0946936975082793,False,False,False
FedAvg,9,node_std_2,Std,-5.854824977010757,False,False,False
FedAvg,9,node_tou_0,ToU,-21.44481930746394,True,False,False
FedAvg,9,node_tou_1,ToU,6.671223528038851,True,True,False
FedAvg,9,node_tou_2,ToU,1.2670878577257194,True,False,False
FedAvg,9,node_tou_3,ToU,-17.951864141003686,True,False,False
FedAvg,9,node_tou_4,ToU,1.2796609464647957,True,False,False
FedAvg,9,node_tou_5,ToU,13.354443849537711,True,True,False
FedAvg,9,node_tou_6,ToU,6.731395805108105,True,True,False
FedAvg,10,node_std_0,Std,1.9533224008460355,False,False,False
FedAvg,10,node_std_1,Std,1.4612356678703615,False,False,False
FedAvg,10,node_std_2,Std,-3.2775034415109117,False,False,False
FedAvg,10,node_tou_0,ToU,-18.969340993907277,True,False,False
FedAvg,10,node_tou_1,ToU,-4.9895397145776625,True,False,False
FedAvg,10,node_tou_2,ToU,-5.510405783739084,True,False,False
FedAvg,10,node_tou_3,ToU,-12.704672830390559,True,False,False
FedAvg,10,node_tou_4,ToU,6.084729403596103,True,True,False
