method,round,node_id,node_type,sample_count,drift_score,aggregation_weight
FLAST,6,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,6,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,6,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,6,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,7,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,7,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,7,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,7,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,7,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,7,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,7,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,7,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,7,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,7,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,8,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,8,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,8,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,8,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,8,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,8,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,8,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,8,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,8,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,8,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,9,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,9,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,9,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,9,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,9,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,9,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,9,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,9,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,9,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,9,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
FLAST,10,node_std_0,Std,44960,0.10808529229381589,0.14189806455217593
FLAST,10,node_std_1,Std,44960,0.09487428829133547,0.16165680186411535
FLAST,10,node_std_2,Std,44960,0.14308726534753932,0.10718723610116779
FLAST,10,node_tou_0,ToU,44960,0.12677856699926715,0.12097561179714314
FLAST,10,node_tou_1,ToU,44960,0.17720277354980551,0.08655140561553845
FLAST,10,node_tou_2,ToU,44960,0.18952590337674052,0.0809237918620238
FLAST,10,node_tou_3,ToU,44960,0.30924375669428944,0.049595782463905114
FLAST,10,node_tou_4,ToU,44960,0.2834446699362986,0.05410996641635107
FLAST,10,node_tou_5,ToU,44960,0.13220869271097582,0.11600689303954469
FLAST,10,node_tou_6,ToU,44960,0.18912706465978915,0.08109444628803479
