model,node_id,node_type,household_count,sample_count,split_key,split_label,count,rmse,mae
FLAST,node_std_1,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.08439267426729202,0.06633914262056351
FLAST,node_std_1,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.07601194083690643,0.06034111976623535
FLAST,node_std_1,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.08399377763271332,0.06573109328746796
FLAST,node_std_2,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.08662907034158707,0.06805703788995743
FLAST,node_std_2,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.08307861536741257,0.06567947566509247
FLAST,node_std_2,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.09344203025102615,0.07419469952583313
FLAST,node_tou_0,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10172738134860992,0.07899216562509537
FLAST,node_tou_0,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.0884658545255661,0.06784284859895706
FLAST,node_tou_0,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.09930697828531265,0.07811671495437622
FLAST,node_tou_1,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.11519798636436462,0.0897541344165802
FLAST,node_tou_1,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.0991993173956871,0.07669832557439804
FLAST,node_tou_1,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.12101439386606216,0.09605996310710907
FLAST,node_tou_2,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10007123649120331,0.07784701883792877
FLAST,node_tou_2,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.09331172704696655,0.07005919516086578
FLAST,node_tou_2,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.11171945929527283,0.08877325057983398
FLAST,node_tou_3,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.08348120748996735,0.0630815327167511
FLAST,node_tou_3,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.07351209968328476,0.05548754706978798
FLAST,node_tou_3,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.0791608989238739,0.06119982898235321
FLAST,node_tou_4,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.0662466436624527,0.04920458048582077
FLAST,node_tou_4,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.06495395302772522,0.04848078638315201
FLAST,node_tou_4,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.07452242821455002,0.05781508982181549
FLAST,node_tou_5,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.07288729399442673,0.056889019906520844
FLAST,node_tou_5,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.06917154788970947,0.05309765785932541
FLAST,node_tou_5,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.07331056147813797,0.0572308786213398
FLAST,node_tou_6,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10032641887664795,0.07382827997207642
FLAST,node_tou_6,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.1010846495628357,0.07031577825546265
FLAST,node_tou_6,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.1016717404127121,0.07605830579996109
