LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC004331,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC004374,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004396,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004400,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004408,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC004506,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC004525,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC004606,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004709,ToU,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC004751,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC004762,ToU,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC004821,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004827,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC004851,ToU,drift_2013,2013 tariff-shift period,8520,8760,0.0273972602739726,0.0
MAC004965,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC005022,ToU,drift_2013,2013 tariff-shift period,8616,8760,0.01643835616438356,0.0
MAC005069,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC005070,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC005080,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC005083,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC005124,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC005162,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC005250,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC005321,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC005341,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC005429,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC005449,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC005498,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC005537,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC005538,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
