LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000640,ToU,pre_2011_2012,2011-2012 pre-drift,6239,9720,0.3581275720164609,0.0
MAC000681,ToU,pre_2011_2012,2011-2012 pre-drift,6071,9720,0.37541152263374483,0.0
MAC000755,ToU,pre_2011_2012,2011-2012 pre-drift,6119,9720,0.37047325102880657,0.0
MAC000772,ToU,pre_2011_2012,2011-2012 pre-drift,6023,9720,0.38034979423868315,0.0
MAC000817,ToU,pre_2011_2012,2011-2012 pre-drift,5927,9720,0.39022633744855967,0.0
MAC000828,ToU,pre_2011_2012,2011-2012 pre-drift,5951,9720,0.3877572016460905,0.0
MAC000895,ToU,pre_2011_2012,2011-2012 pre-drift,5879,9720,0.39516460905349793,0.0
MAC000935,ToU,pre_2011_2012,2011-2012 pre-drift,5831,9720,0.4001028806584362,0.0
MAC000937,ToU,pre_2011_2012,2011-2012 pre-drift,5855,9720,0.3976337448559671,0.0
MAC000939,ToU,pre_2011_2012,2011-2012 pre-drift,5855,9720,0.3976337448559671,0.0
MAC000945,ToU,pre_2011_2012,2011-2012 pre-drift,5735,9720,0.40997942386831276,0.0
MAC000985,ToU,pre_2011_2012,2011-2012 pre-drift,5735,9720,0.40997942386831276,0.0
MAC001012,ToU,pre_2011_2012,2011-2012 pre-drift,5687,9720,0.414917695473251,0.0
MAC001030,ToU,pre_2011_2012,2011-2012 pre-drift,5759,9720,0.4075102880658436,0.0
MAC001091,ToU,pre_2011_2012,2011-2012 pre-drift,5591,9720,0.42479423868312755,0.0
MAC001105,ToU,pre_2011_2012,2011-2012 pre-drift,5615,9720,0.42232510288065844,0.0
MAC001110,ToU,pre_2011_2012,2011-2012 pre-drift,5687,9720,0.414917695473251,0.0
MAC001143,ToU,pre_2011_2012,2011-2012 pre-drift,5567,9720,0.4272633744855967,0.0
MAC001182,ToU,pre_2011_2012,2011-2012 pre-drift,5591,9720,0.42479423868312755,0.0
MAC001228,ToU,pre_2011_2012,2011-2012 pre-drift,5471,9720,0.4371399176954732,0.0
MAC001318,ToU,pre_2011_2012,2011-2012 pre-drift,5495,9720,0.4346707818930041,0.0
MAC001372,ToU,pre_2011_2012,2011-2012 pre-drift,5423,9720,0.44207818930041154,0.0
MAC001383,ToU,pre_2011_2012,2011-2012 pre-drift,5303,9720,0.4544238683127572,0.0
MAC001437,ToU,pre_2011_2012,2011-2012 pre-drift,5279,9720,0.4568930041152263,0.0
MAC001495,ToU,pre_2011_2012,2011-2012 pre-drift,5255,9720,0.4593621399176955,0.0
MAC001556,ToU,pre_2011_2012,2011-2012 pre-drift,5303,9720,0.4544238683127572,0.0
MAC001715,ToU,pre_2011_2012,2011-2012 pre-drift,3935,9720,0.595164609053498,0.0
MAC001756,ToU,pre_2011_2012,2011-2012 pre-drift,5039,9720,0.4815843621399177,0.0
MAC001770,ToU,pre_2011_2012,2011-2012 pre-drift,4991,9720,0.486522633744856,0.0
MAC001773,ToU,pre_2011_2012,2011-2012 pre-drift,4871,9720,0.49886831275720167,0.0
MAC001806,ToU,pre_2011_2012,2011-2012 pre-drift,4919,9720,0.49393004115226335,0.0
MAC001823,ToU,pre_2011_2012,2011-2012 pre-drift,4823,9720,0.5038065843621399,0.0
MAC001826,ToU,pre_2011_2012,2011-2012 pre-drift,4919,9720,0.49393004115226335,0.0
MAC001853,ToU,pre_2011_2012,2011-2012 pre-drift,4847,9720,0.5013374485596708,0.0
MAC001855,ToU,pre_2011_2012,2011-2012 pre-drift,4871,9720,0.49886831275720167,0.0
MAC002040,ToU,pre_2011_2012,2011-2012 pre-drift,4727,9720,0.5136831275720165,0.0
MAC002046,ToU,pre_2011_2012,2011-2012 pre-drift,4727,9720,0.5136831275720165,0.0
MAC002052,ToU,pre_2011_2012,2011-2012 pre-drift,4727,9720,0.5136831275720165,0.0
MAC002073,ToU,pre_2011_2012,2011-2012 pre-drift,4775,9720,0.5087448559670782,0.0
MAC002102,ToU,pre_2011_2012,2011-2012 pre-drift,4703,9720,0.5161522633744856,0.0
MAC002182,ToU,pre_2011_2012,2011-2012 pre-drift,4583,9720,0.5284979423868312,0.0
MAC002222,ToU,pre_2011_2012,2011-2012 pre-drift,4343,9720,0.5531893004115226,0.0
