LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000617,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000628,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000640,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000681,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000755,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000772,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000817,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000828,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000895,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000935,ToU,post_2014,2014 post-drift (Jan-Feb only),1296,1416,0.0847457627118644,0.0
MAC000937,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC000939,ToU,post_2014,2014 post-drift (Jan-Feb only),1272,1416,0.1016949152542373,0.0
MAC000945,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000985,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC001012,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001030,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001091,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001105,ToU,post_2014,2014 post-drift (Jan-Feb only),1320,1416,0.06779661016949153,0.0
MAC001110,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001143,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC001182,ToU,post_2014,2014 post-drift (Jan-Feb only),1104,1416,0.22033898305084745,0.0
MAC001228,ToU,post_2014,2014 post-drift (Jan-Feb only),1320,1416,0.06779661016949153,0.0
