LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC000432,285,58,0
MAC000433,285,365,59
MAC000434,285,365,59
MAC000435,285,365,59
MAC000436,285,365,59
MAC000437,285,365,59
MAC000438,285,322,0
MAC000439,285,365,59
MAC000440,285,365,59
MAC000441,285,365,59
MAC000442,285,365,59
MAC000443,285,365,59
MAC000444,285,364,59
MAC000445,285,365,59
MAC000446,285,365,59
MAC000447,285,365,59
MAC000448,285,365,59
MAC000449,285,365,59
MAC000450,285,135,0
MAC000451,284,365,59
MAC000452,284,365,59
MAC000453,284,365,59
MAC000454,284,365,59
MAC000455,284,365,59
MAC000456,284,307,0
MAC000457,284,365,59
MAC000458,284,135,0
MAC000459,284,365,59
MAC000460,284,304,0
MAC000461,284,365,59
MAC000462,283,365,59
MAC000463,284,289,0
MAC000464,284,365,59
MAC000465,284,365,59
MAC000466,284,365,59
MAC000467,284,307,0
MAC000468,284,365,59
MAC000469,284,152,0
MAC000470,284,365,59
MAC000471,284,365,59
MAC000472,284,365,59
MAC000473,284,365,59
MAC000474,284,365,59
MAC000475,284,365,59
MAC000476,284,365,59
MAC000477,284,365,59
MAC000478,284,365,59
MAC000479,284,365,59
MAC000480,283,365,59
MAC000481,284,365,59
MAC000482,284,365,59
MAC000483,284,365,59
MAC000484,284,365,59
MAC000485,284,365,59
MAC000486,284,97,0
MAC000487,284,365,59
MAC000488,284,365,59
MAC000489,283,365,59
MAC000490,283,365,59
MAC000491,283,66,0
MAC000492,283,365,59
MAC000493,283,365,59
MAC000494,283,343,0
MAC000495,283,58,0
MAC000496,281,365,59
MAC000497,281,365,59
MAC000498,281,365,59
MAC000499,281,365,59
MAC000500,281,365,59
MAC000501,281,365,59
MAC000502,281,365,59
MAC000503,281,365,59
MAC000504,281,365,59
MAC000505,280,365,59
MAC000506,281,365,59
MAC000507,281,365,59
MAC000508,281,365,59
MAC000509,281,365,59
MAC000510,280,365,59
MAC000511,280,365,59
MAC000512,280,119,0
MAC000513,280,365,59
MAC000514,280,358,59
MAC000515,280,365,59
MAC000516,280,365,59
MAC000517,280,365,8
MAC000518,280,365,59
MAC000519,280,365,59
MAC000520,280,365,59
MAC000521,280,365,59
MAC000522,280,365,59
MAC000523,280,365,59
MAC000524,279,365,59
MAC000525,279,365,59
MAC000526,279,365,59
MAC000527,279,365,59
MAC000528,237,309,54
MAC000529,279,365,59
MAC000530,279,365,59
MAC000531,279,365,59
MAC000532,279,365,59
MAC000533,279,365,59
MAC000534,278,86,0
MAC000535,266,365,59
MAC000536,266,365,59
MAC000537,266,34,0
MAC000538,266,365,59
MAC000539,266,365,59
MAC000540,266,75,0
MAC000541,265,365,59
MAC000542,266,365,59
MAC000543,266,365,59
MAC000544,266,365,59
MAC000545,266,365,42
MAC000546,266,58,0
MAC000547,266,365,59
MAC000548,266,365,59
MAC000549,265,365,59
MAC000550,265,365,59
MAC000551,265,365,59
MAC000552,265,365,59
MAC000553,265,365,59
MAC000554,265,365,59
MAC000555,265,365,59
MAC000556,265,365,59
MAC000557,265,365,59
MAC000558,264,365,59
MAC000559,264,365,59
MAC000560,265,365,59
MAC000561,265,365,59
MAC000562,265,365,59
MAC000563,264,365,59
MAC000564,265,365,59
MAC000565,265,365,59
MAC000566,265,365,59
MAC000567,265,66,0
MAC000568,265,365,59
MAC000569,265,365,59
MAC000570,264,365,59
MAC000571,264,365,59
MAC000572,265,365,59
MAC000573,265,365,59
MAC000574,265,365,58
MAC000575,265,365,59
MAC000576,265,365,59
MAC000577,265,365,59
MAC000578,265,365,59
MAC000579,265,365,59
MAC000580,264,365,59
MAC000581,265,365,59
MAC000582,265,365,59
MAC000583,263,343,58
MAC000584,264,365,59
MAC000585,263,365,59
MAC000586,264,365,59
MAC000587,264,365,59
MAC000588,264,365,59
MAC000589,263,365,59
MAC000590,264,365,59
MAC000591,264,365,59
MAC000592,264,365,59
MAC000593,264,365,59
MAC000594,264,365,59
MAC000595,264,365,59
MAC000596,264,365,59
MAC000597,258,364,59
MAC000598,264,365,59
MAC000599,262,365,59
MAC000600,264,365,59
MAC000601,264,365,59
MAC000602,264,58,0
MAC000603,264,365,59
MAC000604,263,365,59
MAC000605,264,365,59
MAC000606,264,49,0
MAC000607,264,66,0
MAC000608,264,365,59
MAC000609,264,365,59
MAC000610,264,365,59
MAC000611,264,365,59
MAC000612,263,365,59
MAC000613,264,365,59
MAC000614,264,365,59
MAC000615,264,365,59
MAC000616,264,365,59
MAC000617,263,365,59
MAC000618,264,365,59
MAC000619,236,0,0
MAC000620,263,365,59
MAC000621,264,365,59
MAC000622,263,365,59
MAC000623,263,365,59
MAC000624,263,365,59
MAC000625,263,365,59
MAC000626,262,365,59
MAC000627,263,365,59
MAC000628,263,365,59
MAC000629,263,365,59
MAC000630,263,365,59
MAC000631,263,365,59
MAC000632,263,365,59
MAC000633,263,365,59
MAC000634,263,365,59
MAC000635,263,365,59
MAC000636,263,201,0
MAC000637,262,365,59
MAC000638,262,365,59
MAC000639,263,365,59
MAC000640,263,365,59
MAC000641,263,365,59
MAC000642,263,365,59
MAC000643,263,365,59
MAC000644,263,365,59
MAC000645,263,365,59
MAC000646,263,365,59
MAC000647,263,365,59
MAC000648,70,365,59
MAC000649,263,365,59
MAC000650,261,365,59
MAC000651,263,365,58
MAC000652,263,365,59
MAC000653,263,365,59
MAC000654,263,365,59
MAC000655,263,365,59
MAC000656,263,365,59
MAC000657,263,365,59
MAC000658,260,365,59
MAC000659,261,365,59
MAC000660,262,365,59
MAC000661,262,365,59
MAC000662,262,365,59
MAC000663,262,365,59
MAC000664,262,365,59
MAC000665,258,365,59
MAC000666,258,322,0
MAC000667,258,365,59
MAC000668,255,247,0
MAC000669,258,365,59
MAC000670,258,365,59
MAC000671,258,365,59
MAC000672,258,365,59
MAC000673,258,365,59
MAC000674,258,365,59
MAC000675,257,365,59
MAC000676,257,365,59
MAC000677,258,365,59
MAC000678,257,365,59
MAC000679,258,365,59
MAC000680,258,365,59
MAC000681,258,365,59
MAC000682,258,365,59
MAC000683,258,365,59
MAC000684,258,365,59
MAC000685,258,365,59
MAC000686,258,365,59
MAC000687,258,365,59
MAC000688,258,365,59
MAC000689,257,365,59
MAC000690,258,365,59
MAC000691,258,365,59
MAC000692,258,365,59
MAC000693,257,365,59
MAC000694,257,365,59
MAC000695,252,365,59
MAC000696,258,365,59
MAC000697,258,365,59
MAC000698,258,365,59
MAC000699,258,365,59
MAC000700,258,339,0
MAC000701,258,365,59
MAC000702,255,365,59
MAC000703,257,365,59
MAC000704,256,365,59
MAC000705,256,364,59
MAC000706,257,365,59
MAC000707,257,361,59
MAC000708,257,365,59
MAC000709,257,365,59
MAC000710,257,365,59
MAC000711,255,361,59
MAC000712,257,365,59
MAC000713,257,365,59
MAC000714,257,365,59
MAC000715,257,365,59
MAC000716,257,365,59
MAC000717,257,365,59
MAC000718,251,360,56
MAC000719,257,365,59
MAC000720,257,365,59
MAC000721,257,365,59
MAC000722,257,365,59
MAC000723,257,365,59
MAC000724,257,365,59
MAC000725,257,365,59
MAC000726,257,365,59
MAC000727,257,365,59
MAC000728,257,365,59
MAC000729,257,257,0
MAC000730,257,365,59
MAC000731,257,365,59
MAC000732,257,365,59
MAC000733,257,322,0
MAC000734,257,365,59
MAC000735,257,109,0
MAC000736,257,365,59
MAC000737,257,365,59
MAC000738,257,248,0
MAC000739,257,365,59
MAC000740,257,365,59
MAC000741,257,52,0
MAC000742,256,365,59
MAC000743,256,365,59
MAC000744,257,365,59
MAC000745,257,365,59
MAC000746,257,365,59
MAC000747,257,365,59
MAC000748,256,365,59
MAC000749,256,365,59
