LCLid,stdorToU,Acorn,Acorn_grouped,file,pre_2011_2012_days,drift_2013_days,post_2014_days,pre_mean,pre_std,drift_mean,drift_std,mean_shift_pct,std_shift_pct,shift_score
MAC001770,ToU,ACORN-K,Adversity,block_74,209,365,59,0.06974822180924264,0.029502137566857586,0.10631188181579712,0.0723171671913296,52.4223543742147,145.12517788734743,197.54753226156214
MAC001773,ToU,ACORN-Q,Adversity,block_107,207,365,59,0.08812751025732532,0.047897640228430044,0.09566546803652964,0.02139779865764003,8.553467307988262,55.325985673634115,63.87945298162238
MAC001806,ToU,ACORN-E,Affluent,block_43,209,365,59,0.12668487513072285,0.050552140588584406,0.16265359959217557,0.08414290562785678,28.392279997385263,66.44775997251793,94.84003996990319
MAC001823,ToU,ACORN-L,Adversity,block_79,208,365,59,0.0639770472838903,0.016648534883666192,0.05949160958904105,0.03232631356840172,7.011010800397935,94.16911935065787,101.1801301510558
MAC001826,ToU,ACORN-D,Affluent,block_7,208,365,59,0.12877318899728923,0.08761349021253692,0.1051407534531963,0.03758675468898228,18.351984390625294,57.09935239675698,75.45133678738227
MAC001853,ToU,ACORN-E,Affluent,block_43,208,365,59,0.20142707108352084,0.08643697902982418,0.36233693639621584,0.2192674006806275,79.88492532166862,153.6731421455296,233.5580674671982
MAC001855,ToU,ACORN-E,Affluent,block_43,206,365,59,0.03981999027404801,0.008796441389762913,0.060509531940639225,0.03661650638348558,51.95767634347028,316.26499582091213,368.2226721643824
MAC002040,ToU,ACORN-Q,Adversity,block_106,201,365,59,0.0787142563947612,0.05880448422962232,0.053190557903429476,0.043400157469752725,32.42576333736471,26.19583686801521,58.62160020537992
MAC002046,ToU,ACORN-E,Affluent,block_42,198,365,59,0.1033845480619582,0.04714784798618586,0.17583162103881275,0.0896396151649365,70.07533943412622,90.12451043619332,160.19984987031955
MAC002052,ToU,ACORN-E,Affluent,block_42,200,365,59,0.042490194542947154,0.014792014475927217,0.04913410083952681,0.024779754540336044,15.636328258898171,67.52116204769169,83.15749030658986
MAC002073,ToU,ACORN-E,Affluent,block_42,200,365,59,0.051124270833333284,0.017189948036095134,0.034978710045662054,0.021581706339758717,31.581009419784706,25.54840942184264,57.12941884162734
MAC002102,ToU,ACORN-E,Affluent,block_33,199,365,59,0.23880830049107038,0.16316961169981134,0.32747707498395096,0.19520070570295098,37.12968699603309,19.63055109922571,56.7602380952588
MAC002182,ToU,ACORN-F,Comfortable,block_52,193,365,59,0.08405048481507196,0.08261478628110683,0.12716491700632865,0.13094223325711285,51.2958756705772,58.49733340901715,109.79320907959436
MAC002222,ToU,ACORN-G,Comfortable,block_61,186,365,59,0.27128036907443076,0.11081824085422023,0.2577571917808219,0.054535434898183,4.984945036660034,50.788395053190236,55.77334008985027
MAC002238,ToU,ACORN-H,Comfortable,block_61,255,365,59,0.20745347848301887,0.061310026199184145,0.31301794825083024,0.09682336698186202,50.88585187375026,57.92419769533625,108.81004956908652
MAC002265,ToU,ACORN-E,Affluent,block_34,253,365,59,0.20096294330755796,0.07418498402362197,0.2602433789497717,0.12326119823941427,29.498192386389206,66.15383808691723,95.65203047330644
MAC002280,ToU,ACORN-E,Affluent,block_33,253,365,59,0.18636742441124327,0.09105277417608769,0.2769949370759254,0.14083282010416728,48.628408613246194,54.67164112079613,103.30004973404232
MAC002281,ToU,ACORN-E,Affluent,block_34,253,365,59,0.10448435152111596,0.12205059694029927,0.17823502735451274,0.2032315625297004,70.58537930293993,66.51418970864239,137.09956901158233
MAC002357,ToU,ACORN-Q,Adversity,block_100,249,365,59,0.11520214017306502,0.014762218165294902,0.13273597105411442,0.0672778041878136,15.220056549912014,355.7431913991064,370.9632479490184
MAC002418,ToU,ACORN-P,Adversity,block_91,245,365,59,0.04128456334571363,0.01493007238939911,0.04127654108447486,0.0247942506791236,0.01943162428918605,66.06919264991919,66.08862427420837
MAC002448,ToU,ACORN-Q,Adversity,block_94,244,365,59,0.07613507630367149,0.02222637552319862,0.04343704657794898,0.01735841869777585,42.94739207366592,21.901712316260802,64.84910438992672
MAC002490,ToU,ACORN-L,Adversity,block_77,178,365,59,0.11995401952915995,0.01888142426630319,0.10766759083843386,0.029731588236322045,10.242615244534885,57.46475380770213,67.70736905223701
MAC002496,ToU,ACORN-G,Comfortable,block_61,178,365,59,0.2329596788920764,0.06085393664318698,0.2981828524011464,0.10007760489995511,27.997623373822577,64.45543282886284,92.45305620268542
MAC002552,ToU,ACORN-A,Affluent,block_2,176,365,59,0.23946531700994314,0.12244801924215656,0.17366821741499075,0.07384592186936324,27.476671952548497,39.6920241532666,67.1686961058151
MAC002574,ToU,ACORN-G,Comfortable,block_60,175,365,59,0.16285283054711244,0.026670481936861702,0.13706470295346349,0.037862036548458586,15.83523449178772,41.962326133030444,57.79756062481816
MAC002602,ToU,ACORN-H,Comfortable,block_63,175,365,59,0.13130472857142855,0.017557408482184664,0.18938196204556274,0.07415109887703884,44.23087736900557,322.335101175548,366.56597854455356
MAC002672,ToU,ACORN-F,Comfortable,block_50,241,365,59,0.3027136028413754,0.19805029140695735,0.4468456742045565,0.2596480227830823,47.613344762279354,31.102065509993526,78.71541027227288
MAC002798,ToU,ACORN-E,Affluent,block_37,236,365,59,0.12212723713591722,0.018815304385631795,0.12759103030615462,0.04649892443242306,4.473853088280926,147.13352215514362,151.60737524342454
MAC002848,ToU,ACORN-K,Adversity,block_75,235,365,59,0.13380411599037484,0.05059782992872909,0.1698435502226027,0.10211012615075363,26.93447355148652,101.80732314920134,128.74179670068787
MAC002891,ToU,ACORN-D,Affluent,block_11,182,365,59,0.145813165879267,0.023911414264469515,0.10011324201484015,0.03534129069760433,31.341424890442532,47.80092179707964,79.14234668752218
MAC002930,ToU,ACORN-E,Affluent,block_38,183,365,59,0.0794673580062924,0.016131756671299544,0.10678367215583404,0.09552053291408004,34.37425734900948,492.12728570362873,526.5015430526382
MAC002932,ToU,ACORN-F,Comfortable,block_51,183,365,59,0.14790651185109288,0.025771045197765907,0.1039487839983594,0.03264411094957988,29.719940861690112,26.669720607256536,56.38966146894665
