LCLid,node_id,node_type,node_index,node_household_count,stdorToU,Acorn_grouped,file,shift_score
MAC001105,node_tou_1,ToU,1,20,ToU,Affluent,block_27,68.6046588209478
MAC001770,node_tou_1,ToU,1,20,ToU,Adversity,block_74,197.54753226156214
MAC001823,node_tou_1,ToU,1,20,ToU,Adversity,block_79,101.1801301510558
MAC002238,node_tou_1,ToU,1,20,ToU,Comfortable,block_61,108.81004956908652
MAC002265,node_tou_1,ToU,1,20,ToU,Affluent,block_34,95.65203047330644
MAC002574,node_tou_1,ToU,1,20,ToU,Comfortable,block_60,57.79756062481816
MAC002672,node_tou_1,ToU,1,20,ToU,Comfortable,block_50,78.71541027227288
MAC002798,node_tou_1,ToU,1,20,ToU,Affluent,block_37,151.60737524342454
MAC003068,node_tou_1,ToU,1,20,ToU,Affluent,block_38,65.69530414409985
MAC003298,node_tou_1,ToU,1,20,ToU,Comfortable,block_64,1163.1842843163702
MAC003360,node_tou_1,ToU,1,20,ToU,Adversity,block_85,61.637399034767604
MAC003419,node_tou_1,ToU,1,20,ToU,Comfortable,block_60,94.74835911615668
MAC004751,node_tou_1,ToU,1,20,ToU,Comfortable,block_46,129.78405989052402
MAC005022,node_tou_1,ToU,1,20,ToU,Adversity,block_96,65.15799832257495
MAC005069,node_tou_1,ToU,1,20,ToU,Comfortable,block_47,102.06763479867037
MAC005341,node_tou_1,ToU,1,20,ToU,Comfortable,block_48,101.3746156482799
MAC005449,node_tou_1,ToU,1,20,ToU,Adversity,block_74,70.6810186752674
MAC005498,node_tou_1,ToU,1,20,ToU,Adversity,block_82,56.07629488881878
MAC000395,node_tou_2,ToU,2,20,ToU,Adversity,block_78,61.27628915040163
MAC000617,node_tou_2,ToU,2,20,ToU,Adversity,block_93,103.46127288527438
MAC000828,node_tou_2,ToU,2,20,ToU,Affluent,block_17,62.665296379753634
MAC000895,node_tou_2,ToU,2,20,ToU,Affluent,block_17,56.059808504908055
MAC000937,node_tou_2,ToU,2,20,ToU,Adversity,block_92,57.30194464345217
MAC001012,node_tou_2,ToU,2,20,ToU,Comfortable,block_58,152.32257167070708
MAC001110,node_tou_2,ToU,2,20,ToU,Affluent,block_42,140.75589164629963
MAC001143,node_tou_2,ToU,2,20,ToU,Affluent,block_41,56.2955039862337
MAC001756,node_tou_2,ToU,2,20,ToU,Affluent,block_43,74.25785280444317
MAC001853,node_tou_2,ToU,2,20,ToU,Affluent,block_43,233.5580674671982
MAC002046,node_tou_2,ToU,2,20,ToU,Affluent,block_42,160.19984987031955
MAC002281,node_tou_2,ToU,2,20,ToU,Affluent,block_34,137.09956901158233
MAC002448,node_tou_2,ToU,2,20,ToU,Adversity,block_94,64.84910438992672
MAC002985,node_tou_2,ToU,2,20,ToU,Adversity,block_86,95.84121788346931
MAC003895,node_tou_2,ToU,2,20,ToU,Affluent,block_2,56.39896538244014
MAC004155,node_tou_2,ToU,2,20,ToU,Comfortable,block_62,55.0465445787531
MAC004606,node_tou_2,ToU,2,20,ToU,Affluent,block_36,133.8283067539906
MAC004709,node_tou_2,ToU,2,20,ToU,Adversity,block_97,106.37095245657135
MAC004965,node_tou_2,ToU,2,20,ToU,Affluent,block_33,102.31168733510788
MAC005321,node_tou_2,ToU,2,20,ToU,Affluent,block_41,61.48124804382204
MAC000293,node_tou_3,ToU,3,20,ToU,Adversity,block_109,55.528204308135706
MAC000628,node_tou_3,ToU,3,20,ToU,Affluent,block_16,74.3123556883216
MAC000935,node_tou_3,ToU,3,20,ToU,Affluent,block_17,70.72057268434844
MAC001030,node_tou_3,ToU,3,20,ToU,Affluent,block_17,657.6827044239931
MAC001318,node_tou_3,ToU,3,20,ToU,Adversity,block_105,387.5461089022541
MAC001806,node_tou_3,ToU,3,20,ToU,Affluent,block_43,94.84003996990319
MAC002073,node_tou_3,ToU,3,20,ToU,Affluent,block_42,57.12941884162734
MAC002102,node_tou_3,ToU,3,20,ToU,Affluent,block_33,56.7602380952588
MAC002490,node_tou_3,ToU,3,20,ToU,Adversity,block_77,67.70736905223701
MAC002552,node_tou_3,ToU,3,20,ToU,Affluent,block_2,67.1686961058151
MAC002930,node_tou_3,ToU,3,20,ToU,Affluent,block_38,526.5015430526382
MAC003099,node_tou_3,ToU,3,20,ToU,Adversity,block_96,64.82786905809763
MAC003315,node_tou_3,ToU,3,20,ToU,Adversity,block_78,72.23115970911834
MAC003648,node_tou_3,ToU,3,20,ToU,Affluent,block_35,72.09037657115321
MAC003682,node_tou_3,ToU,3,20,ToU,Comfortable,block_62,81.40539639971107
